filename,Use_EWC,optimizer,scheduler,learned_percent,learning_rate,times,average_train_loss,mean_absolute_error,,,filename,optimizer_T_Test,EWC_T_Test
dataset/Stock_3.csv,No,SGD,StepLR:1,0.99,0.001,3,0.469405,178.5775,,,,,
dataset/Stock_3.csv,No,SGD,StepLR:1,0.99,0.001,4,0.279197,146.44111,,,,,
dataset/Stock_3.csv,No,SGD,StepLR:1,0.99,0.001,5,0.17782,123.90827,,,,,
dataset/Stock_3.csv,No,SGD,StepLR:1,0.99,0.001,6,0.126799,109.92028,,,,,
dataset/Stock_3.csv,No,SGD,StepLR:1,0.99,0.001,7,0.099384,102.87944,,,,,
dataset/Stock_3.csv,No,SGD,StepLR:1,0.99,0.001,8,0.083881,96.60738,,,,,
dataset/Stock_3.csv,No,SGD,StepLR:1,0.99,0.001,9,0.074681,93.76747,,,,,
dataset/Stock_3.csv,No,SGD,StepLR:1,0.99,0.001,10,0.068774,91.23246,,,,,
dataset/Stock_3.csv,No,SGD,StepLR:1,0.99,0.001,11,0.065051,90.03976,,,,,
dataset/Stock_3.csv,No,SGD,StepLR:1,0.99,0.001,12,0.062501,88.71705,,,,,
dataset/Stock_3.csv,No,SGD,StepLR:1,0.99,0.001,13,0.060837,87.95493,,,,,
dataset/Stock_3.csv,No,SGD,StepLR:1,0.99,0.001,14,0.059696,87.47711,,,,,
