trade_date,open,high,low,close,volume
2017/12/8,314.600006,316.980011,311.26001,315.130005,3468500
2017/12/11,314.630005,329.01001,313.75,328.910004,7938000
2017/12/12,330.450012,341.440002,330.029999,341.029999,8733200
2017/12/13,340.929993,344.220001,336.5,339.029999,6221500
2017/12/14,341.01001,347.440002,336.899994,337.890015,5799900
2017/12/15,342.040009,343.899994,335.76001,343.450012,6933200
2017/12/18,344.899994,346.730011,337.579987,338.869995,5476200
2017/12/19,340.26001,341.48999,330.299988,331.100006,6825000
2017/12/20,332.690002,333.100006,325.040009,328.980011,5953800
2017/12/21,329.589996,333.73999,327.209991,331.660004,4385200
2017/12/22,329.51001,330.920013,324.820007,325.200012,4215800
2017/12/26,323.829987,323.940002,316.579987,317.290009,4378400
2017/12/27,316,317.679993,310.75,311.640015,4712100
2017/12/28,311.75,315.820007,309.540009,315.359985,4316300
2017/12/29,316.179993,316.410004,310,311.350006,3777200
2018/1/2,312,322.109985,311,320.529999,4352200
2018/1/3,321,325.25,315.549988,317.25,4521500
2018/1/4,312.869995,318.549988,305.679993,314.619995,9946300
2018/1/5,316.619995,317.23999,312,316.579987,4591200
2018/1/8,316,337.019989,315.5,336.410004,9859400
2018/1/9,335.160004,338.799988,327.399994,333.690002,7146600
2018/1/10,332.200012,337,330,334.799988,4309900
2018/1/11,335.23999,344.809998,333.26001,337.950012,6645500
2018/1/12,338.630005,340.410004,333.670013,336.220001,4825100
2018/1/16,337.540009,345,334.799988,340.059998,6474300
2018/1/17,340.470001,349,339.75,347.160004,7103500
2018/1/18,345.670013,352.299988,343.73999,344.570007,5685800
2018/1/19,345,350.589996,342.600006,350.019989,4888300
2018/1/22,349.399994,357.829987,349.200012,351.559998,6210400
2018/1/23,360,360.5,351,352.790009,5465400
2018/1/24,354.579987,354.75,343.519989,345.890015,5287500
2018/1/25,348.269989,349.200012,336.399994,337.640015,6740300
2018/1/26,341.5,344,335.709991,342.850006,4539400
2018/1/29,339.850006,350.850006,338.279999,349.529999,4747100
2018/1/30,345.140015,348.269989,342.170013,345.820007,4717700
2018/1/31,347.51001,356.190002,345.190002,354.309998,6214100
2018/2/1,351,359.660004,348.630005,349.25,4197700
2018/2/2,348.440002,351.950012,340.51001,343.75,3704800
2018/2/5,337.970001,344.470001,333,333.130005,4464100
2018/2/6,325.209991,336.220001,323.5,333.970001,5088400
2018/2/7,338.98999,346,335.660004,345,6969200
2018/2/8,343.309998,348.619995,314.600006,315.230011,10314600
2018/2/9,319.929993,320.980011,294.76001,310.420013,12933700
2018/2/12,316.130005,318.079987,306.25,315.730011,6227800
2018/2/13,315.019989,324.190002,312.51001,323.660004,4560200
2018/2/14,320.839996,326.170013,318.519989,322.309998,3950700
2018/2/15,324.5,334.119995,322.399994,334.070007,5912900
2018/2/16,332.5,343.119995,331.640015,335.48999,5642600
2018/2/20,334.470001,340.839996,331.5,334.769989,4009400
